arm,category,quote,speaker,company,job_title,podcast,episode,url,verification_status
Pac,Beauty/Personal Care,"The first thing the consumer sees, touches and interacts with is the package.",Sebba Alqetrani,FIT,Professor,The Glossy Beauty Podcast,Inside the World of Beauty Packaging,https://www.glossy.co/podcasts/the-glossy-beauty-podcast-inside-the-world-of-beauty-packaging/,verified_publisher
Pac,Beauty/Personal Care,They're frustrated by the lack of information [regarding recyclability and proper disposal methods].,Sebba Alqetrani,FIT,Professor,The Glossy Beauty Podcast,Inside the World of Beauty Packaging,https://www.glossy.co/podcasts/the-glossy-beauty-podcast-inside-the-world-of-beauty-packaging/,verified_publisher
Pac,Beauty/Personal Care,"[Tilt Beauty mascara has] increased grip ability, so it's easier to actually open and then easily apply mascara.",Allison Kent-Gunn,Independent Consultant,Packaging Consultant,The Glossy Beauty Podcast,Beauty Packaging Hall of Fame and Shame,https://www.glossy.co/podcasts/beauty-packaging-hall-of-fame-shame-with-allison-kent-gunn-plus-news/,verified_publisher
Pac,Beauty/Personal Care,Packaging that demonstrates value and novelty instantly on camera will consistently outperform those designed solely for retail shelves.,Allison Kent-Gunn Garibay,3E Beauty Consulting,Founder,BeautyMatter,The Beauty Packaging Trends Set to Define 2026,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,verified_publisher
Pac,Beauty/Personal Care,Highly sensorial packaging focused on creating moments of fun will move to the forefront in 2026.,Lisa-Marie Assenza,Impacked,Founder / CEO,BeautyMatter,The Beauty Packaging Trends Set to Define 2026,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,verified_publisher
Pac,Beauty/Personal Care,Mono-material components actually get processed and recycled.,Brandon Frank,Pacific Packaging Components,CEO,BeautyMatter,The Beauty Packaging Trends Set to Define 2026,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,verified_publisher
Pac,Beauty/Personal Care,Sticks aren't just convenient they're category-expanding.,Lisa-Marie Assenza,Impacked,Founder / CEO,BeautyMatter,The Beauty Packaging Trends Set to Define 2026,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,verified_publisher
Pac,Beauty/Personal Care,Packaging in 2026 will be chosen for supply chain flexibility rather than standout unique aesthetics.,Alli Reed,Sespia / Stratia,Founder,Beauty Independent,The Big Business Developments Driving Beauty Manufacturing In 2026,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,verified_publisher
Pac,Beauty/Personal Care,Packaging is our biggest challenge. We source pieces from different countries.,Laura Schubert,Fur,Co-founder,BeautyMatter,How Beauty Brands Are Planning for a Strategic 2026,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_publisher
Pac,Beauty/Personal Care,Customers were getting duty bills... so we had to rethink packaging.,Maekaeda Gibbons,Brown Sugar Babe,Founder / CEO,BeautyMatter,How Beauty Brands Are Planning for a Strategic 2026,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,verified_publisher
