category,source,date,format,evidence_depth,url,primary_signals
Beauty/Personal Care,Forbes - The Founders Of Innersense On How To Green Your Haircare Routine,2020-12,publisher_interview,medium,https://www.forbes.com/sites/celiashatzman/2020/12/04/the-founders-of-innersense-organic-beauty-on-how-to-green-your-haircare-routine/,PCR plastic transition; pouch refill system; B Corp certification; packaging as sustainability mission; functional shower-safe design requirements
Beauty/Personal Care,Packaging Gateway / PR Newswire - Innersense Organic Beauty: Sustainable Haircare Packaging Innovation,2020-2023,publisher_article,high,https://consumergoods.com/innersense-organic-beauty-turns-pouches-sustainable-packaging-innovation,100% PCR bottles; refill pouches; 'haircare packaging is larger heavier and sits in showers'; 'sustainability is one of the key pillars'; circular packaging future; wet-environment functionality
Beauty/Personal Care,Beauty Independent - Adjustments Beauty and Wellness Brands Are Making to Cope with Supply Chain Disruption,2021-10,publisher_article,high,https://www.beautyindependent.com/adjustments-beauty-wellness-brands-making-cope-ongoing-supply-chain-disruption/,250% freight increase; 70% vessel switch to US; 6-9 month production timelines; domestic manufacturing advantage; supplier diversification; backup supplier networks; ingredient substitution
Beauty/Personal Care,WHERE BRAINS MEET BEAUTY - Robyn Watkins Founder and Chief Product Developer of Holistic Beauty Group,2024-06-01,podcast_interview,substantial,https://www.wherebrainsmeetbeauty.com/episode-191/,product development harder than it looks; tracking every component simultaneously; quality talent over big teams; technical + marketing skills required
Beauty/Personal Care,Global Cosmetics News - Innovating Hair Care — The Future of Beauty in 2025,2025,podcast_episode,low,https://www.globalcosmeticsnews.com/innovating-hair-care-podcast/,"haircare innovation trends, product development, market positioning"
Beauty/Personal Care,Startup CPG - Founder Feature Akua Boakye Okunseinde of Karite - Startup CPG - Founder Feature Akua Boakye Okunseinde of Karite,2025-02-21,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-akua-boakye-okunseinde-of-karite/transcript,packaging aesthetic search; sanitary application design; direct Ghana sourcing; contract manufacturer; clinical testing; 4yr dev timeline; retail difficulty
Beauty/Personal Care,Startup CPG #194 - AI for Ops with YANY Beauty and Phenomenal Foods Co - Startup CPG #194 - AI for Ops with YANY Beauty and Phenomenal Foods Co,2025-04-29,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/193-ai-for-ops-with-yany-beauty-and-phenomenal-foods-co/transcript,AI for costing; forecasting; 3PL SOPs; batch data; lead times 30-45 days; ingredient ordering; small team operations
Beauty/Personal Care,Product & Packaging Powerhouse - The Power of Formula Ownership,2025-06-27,podcast_interview,medium,https://www.glcblog.site/2025/06/27/the-science-of-beauty-why-formula-ownership-and-testing-matter-more-than-ever-with-cynthia-johnson/,formula ownership belongs to brands not manufacturers; custom formulation 6-12 months; small-batch prevents waste; testing trio: stability + consumer eval + preservative efficacy
Beauty/Personal Care,The Glossy Beauty Podcast - Inside the World of Beauty Packaging,2025-10-16,podcast_interview,medium,https://www.glossy.co/podcasts/the-glossy-beauty-podcast-inside-the-world-of-beauty-packaging/,packaging as first consumer touchpoint; eye-tracking research; retail audit methodology; sustainability frustration; intentional purchasing shift
Beauty/Personal Care,The Glossy Beauty Podcast - Beauty Packaging Hall of Fame and Shame,2025-10-30,podcast_interview,medium,https://www.glossy.co/podcasts/beauty-packaging-hall-of-fame-shame-with-allison-kent-gunn-plus-news/,accessibility in packaging (Tilt Beauty); refillable design; bottle-in-bottle critique (SKKN); packaging consultant perspective
Beauty/Personal Care,Startup CPG - Founder Feature Suzannah Raff of Cleo+Coco - Startup CPG - Founder Feature Suzannah Raff of Cleo+Coco,2025-10-31,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-suzannah-raff-of-cleo-coco/transcript,formula R&D timeline; supplier relationships; Whole Foods 9-SKU national launch; UNFI cyber attack disruption; SBA and angel funding
Beauty/Personal Care,Packaging Unboxd - How Daise Beauty Designed Packaging Built for Influencer Content,2025-11-05,podcast_interview,low,https://www.packagingunboxd.com/episodes/how-daise-beauty-designed-packaging-built-for-influencer-content,packaging for camera not shelf; social shareability; FOMO through structure; influencer kit design
Beauty/Personal Care,Product & Packaging Powerhouse - Building a Seven-Figure Haircare Brand Rooted in Sustainable Ingredients,2025-11-18,podcast_interview,medium,https://www.glcblog.site/2025/11/18/seven-figure-sustainable-brand-lessons-from-dip-haircare/,40+ reformulations; true sustainability = ingredients + labor + operations + habits; imperfect packaging acceptable if plastic-free
Beauty/Personal Care,Demystifying Cosmetics - Small Batch Big Stakes — Andrea Cid on U.S. Beauty Manufacturing,2025-12-18,podcast_episode,moderate,https://www.demystifyingcosmetics.com/episodes/,"small batch volumes, manufacturing costs, flexibility for emerging brands, U.S.-based production"
Beauty/Personal Care,Packamor - Knowledge Hub — Fragrance Packaging,2025-2026,guide_series,moderate,https://www.packamor.com/blogs/knowledge-hub,"fragrance packaging engineering, bottle design, cap/closure engineering, decoration (frosting, metallization, ceramic ink), luxury presentation"
Beauty/Personal Care,Respect Manufacturing - How To Start Your Own Hair Product Line: A Complete Operational Guide for 2026,2026,guide_article,high,https://www.respectmanufacturing.com/feeds/blog/hair-product-line,"haircare formulation at scalp pH 5.5/hair pH 4.5, MoCRA FDA registration, bench→pilot→commercial scaling, stability testing, fill accuracy KPIs, $2K-$1M startup range"
Beauty/Personal Care,Jarsking - 2026 Perfume Packaging Design Trends,2026,guide_article,high,https://www.jarsking.com/2026-perfume-packaging-design-trends/,"refillable fragrance engineering, 10K unit MOQ, tactile luxury (imperfect by design), lightweight prestige, Core+Layer architecture for localization, modular production"
Beauty/Personal Care,Beauty Independent - What Will Be In And Out For Haircare In 2026,2026-01,publisher_article,medium,https://www.beautyindependent.com/what-will-be-in-out-haircare-2026/,Stick formats driving growth; consumers calling out excessive packaging; skinification of haircare; concentrated/waterless formats; sustainability as minimum not differentiator
Beauty/Personal Care,BeautyMatter - How Beauty Brands Are Planning for a Strategic 2026,2026-01-10,publisher_article,high,https://beautymatter.com/articles/inside-beauty-leaders-end-of-year-playbook-execution-expansion-and-consumer-connection,packaging biggest challenge per Fur co-founder; tariff impact on Korea-sourced products; near-sourcing packaging; packaging rethink due to customer duty bills; redundancy and supplier diversification
Beauty/Personal Care,BeautyMatter - The Beauty Packaging Trends Set to Define 2026,2026-01-15,publisher_article,deep,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,packaging for camera not shelf; mono-material recyclability; EPR compliance data requirements; stick format expansion; smart packaging cost-effective; sustainability claims losing credibility
Beauty/Personal Care,Beauty Independent - The Big Business Developments Driving Beauty Manufacturing In 2026,2026-01-20,publisher_article,deep,https://www.beautyindependent.com/big-business-developments-driving-beauty-manufacturing-2026/,packaging chosen for supply chain flexibility not aesthetics; large MOQs misaligned with launch strategies; nearshoring acceleration; humanoid robots for repetitive tasks; compliance testing not optional
Beauty/Personal Care,Product & Packaging Powerhouse - MoCRA & Must-Know Regulations for Beauty Brands in 2026,2026-02-03,podcast_interview,high,https://www.glcblog.site/2026/02/03/regulatory-survival-2026-beauty-personal-care/,MoCRA facility registration and safety documentation; reactive cleanup more expensive than proactive compliance; California allergen and PFAS regulations; 3-6 year record retention
Beauty/Personal Care,Startup CPG - Founder Feature Jessica Hamel of PlantChi - Startup CPG - Founder Feature Jessica Hamel of PlantChi,2026-03-20,podcast full transcript,moderate,https://startupcpg.transistor.fm/episodes/founder-feature-jessica-hamel-of-plantchi/transcript,packaging caught attention but didn't communicate product; updated packaging from farmer's market feedback; self-funded; independent retail focus; 62% consumer health claim skepticism
Beauty/Personal Care,Business Focus Magazine - Elida Beauty: Iconic Beauty Brands Reborn — COO Interview,2026-04,publisher_interview,high,https://businessfocusmagazine.com/2026/04/09/elida-beauty-iconic-beauty-brands-reborn-interview-with-coo-of-supply-chain-nilendu-sarkar/,Modular supply chain; 3000 SKUs rewired; asset-light model; supplier selection by importance; sustainability = economics; 2026 Supply Chain Masters award
Beauty/Personal Care,Global Cosmetics News Podcast - Redefining Personal Care for 2026,2026-05,podcast_episode,medium,https://globalcosmeticsnews.podbean.com/,Supply chain resilience amid geopolitics; refill infrastructure; bio-based sourcing; circular packaging models; carbon impact reduction
Beauty/Personal Care,Where Brains Meet Beauty - Brand Identity Consumer Connection and Building Beyond the Hero Product,2026-06-24,podcast_episode,moderate,https://www.wherebrainsmeetbeauty.com/,"COO operational perspective, building beyond hero product, consumer connection, brand identity"
Wellness/Supplements,The Startup CPG Podcast - Founder Feature: Sue Delegan and Kim Hehir of Brutus Bone Broth,2024,podcast_transcript,high,https://startupcpg.transistor.fm/episodes/founder-feature-sue-delegan-and-kim-hehir-of-brutus-bone-broth/transcript,"250K unit minimum runs on aseptic machines, 12-week lead time from Sweden, state regulatory label changes, stickering workarounds"
Wellness/Supplements,SupplySide West Podcast - GMP Compliance for Supplement Manufacturers,2024-01-01,podcast_interview,high,https://www.supplysidesj.com/manufacturing/supplyside-west-podcast-9-gmp-compliance-for-supplement-manufacturers,top FDA violations: lack of product specs; failure to verify suppliers; incomplete manufacturing records; SOP review critical
Wellness/Supplements,The Unbottled Podcast - Private Label vs Custom Formulas,2025-01-01,podcast_interview,medium,https://www.canyonsidelabs.com/post/the-unbottled-podcast-private-label-vs-custom-formulas,private label lower MOQ and cost; custom formula ownership and differentiation; pre-formulated middle ground; passion as competitive advantage
Wellness/Supplements,SupplySide Fresh Supplement Webinar - Supplement Brand Founders Talk Scale Strategy Supply Chain,2025-01-01,publisher_interview,medium,https://www.supplysidesj.com/supplements/supplement-brand-founders-talk-scale-strategy-supply-chain,vetting manufacturing partners; direct losses from dishonest manufacturer; founder involvement in formulation; industry advisor network
Wellness/Supplements,The PricePlow Podcast - Inside Veritacor Supplement Manufacturing: GMP Excellence NSF Certification and the Future of Production,2025-06-01,podcast_interview,high,https://blog.priceplow.com/podcast/veritacor-supplement-manufacturing-178,NSF-certified GMP facility from ground up; fixed costs regardless of batch size; formulation vs manufacturing reality gap; client expectation management
Wellness/Supplements,Product & Packaging Powerhouse - What Compostable Packaging Really Means,2025-08-19,podcast_interview,high,https://www.glcblog.site/2025/08/19/what-compostable-packaging-really-means-with-rhodes-yepsen-executive-director-of-biodegradable-products-institute-bpi/,biodegradable is big circle compostable is subset; end-of-life instructions non-negotiable; commercial vs home composting distinction; CA/WA/CO legislating against unsubstantiated claims
Wellness/Supplements,Startup CPG - Founder Feature Elan Halpern and Kiki Couchman of Sourmilk - Startup CPG - Founder Feature Elan Halpern and Kiki Couchman of Sourmilk,2025-11-07,podcast full transcript,substantial,https://startupcpg.transistor.fm/episodes/founder-feature-elan-halpern-kiki-couchman-of-sourmilk/transcript,cold chain constraints; cease-and-desist 14 days before 100K unit packaging order; weekly production; 8-week shelf life; NYC retail launch; regional expansion plan
Wellness/Supplements,Startup CPG - Founder Feature Linda Xu of Hua Wellness - Startup CPG - Founder Feature Linda Xu of Hua Wellness,2025-11-28,podcast full transcript,moderate,https://startupcpg.transistor.fm/episodes/founder-feature-linda-xu-of-hua-wellness/transcript,solopreneur distraction; independent retail; money-back guarantee; community building
Wellness/Supplements,The Startup CPG Podcast - Happy Caapi: The First Non-Hallucinogenic Ayahuasca Vine Supplement,2025-12-01,podcast_interview,substantial,https://startupcpg.transistor.fm/episodes/happy-caapi-the-first-non-hallucinogenic-ayahuasca-vine-supplement/transcript,novel ingredient regulatory path; taste-driven format decisions; B2B ingredient platform vision; nature-product sourcing philosophy
Wellness/Supplements,XINDINGLI - 2026 Supplement Packaging Trends,2026,guide_article,moderate,https://www.mylarbagpackaging.com/news/2026-supplement-packaging-trends/,"single-dose formats for subscription models, PCR plastics, mono-material recyclability, QR authentication, 7-20 day production timelines, e-commerce unboxing as marketing asset"
Wellness/Supplements,Citrus Labs - Supplement Packaging: How to Design for Success,2026,guide_article,moderate,https://www.citruslabs.com/post/supplement-packaging-how-to-design-for-success,"supplement packaging format comparison, regulatory labeling, child-resistant closures, material selection guidance, shelf differentiation"
Wellness/Supplements,NutraIngredients - NutraWomen Wednesday: Jess Haghani of Lucille Health,2026-03,publisher_interview,high,https://www.nutraingredients.com/Article/2026/03/11/nutrawomen-wednesday-jess-haghani-of-lucille-health/,Accessibility-first packaging design (tetra pack with tab-and-straw vs twist cap); senior nutrition innovation gap; clean ingredients + physical interaction; Harvard-partnered formulation
Wellness/Supplements,The Startup CPG Podcast - R&D Radio: Building a Reliable Formula Brand with Casey Bauer COO Bobbie,2026-04-01,podcast_interview,deep,https://startupcpg.transistor.fm/episodes/r-d-radio-building-a-reliable-formula-brand-with-casey-bauer-coo-bobbie/transcript,infant formula manufacturing at scale; 1-of-4 US manufacturers; quality testing evolution; supplier audit process; food safety culture
Wellness/Supplements,The Startup CPG Podcast - Meet the Bone Broth Protein Bar with 20g Protein & No Protein Powder,2026-05-01,podcast_interview,moderate,https://startupcpg.transistor.fm/episodes/meet-the-bone-broth-protein-bar-with-20g-protein-no-protein-powder/transcript,novel protein format; 40+ reformulations; natural channel retail-first; Whole Foods/Sprouts strategy
